# Stellar mass histogram output file. It gives the generated number of stars in different mass range.
# The columns are:
# mass_range_center mass_range mass_range_upper_limit mass_range_lower_limit star_number_in_the_mass_range

126.06227557696334 47.87544884607331 150 102.12455115392669 0
85.82702207159997 32.59505816465344 102.12455115392669 69.52949298927325 0
58.433640706268704 22.1917045660091 69.52949298927325 47.33778842326415 0
39.78339552945007 15.108785787628165 47.33778842326415 32.229002635635986 0
27.085742745494812 10.286519780282351 32.229002635635986 21.942482855353635 0
18.440795470362556 7.003374769982157 21.942482855353635 14.939108085371478 0
12.555053068880937 4.768110032981083 14.939108085371478 10.170998052390395 0
8.54786106248797 3.246273979804851 10.170998052390395 6.924724072585544 0
5.819643162218072 2.2101618207349443 6.924724072585544 4.7145622518506 0
3.9621896387835944 1.5047452261340108 4.7145622518506 3.209817025716589 0
2.697578922983423 1.024476205466332 3.209817025716589 2.185340820250257 1
1.8365935780798335 0.6974944843408473 2.185340820250257 1.4878463359094098 4
1.2504086320905814 0.4748754076376571 1.4878463359094098 1.0129709282717527 6
0.8513161354083071 0.3233095857268913 1.0129709282717527 0.6896613425448614 7
0.5796018547911256 0.22011897550747173 0.6896613425448614 0.4695423670373897 9
0.3946105284568473 0.1498636771610849 0.4695423670373897 0.3196786898763048 7
0.2686628206617956 0.10203173842901844 0.3196786898763048 0.21764695144728638 5
0.18291379981222516 0.0694663032701224 0.21764695144728638 0.14818064817716398 4
0.12453326470455131 0.047294766945225344 0.14818064817716398 0.10088588123193863 4
0.09044294061596932 0.02088588123193863 0.10088588123193863 0.08 0
