# Galaxy-wide IMF output file.
# The columns are:
# mass xi
# where xi=dN/dm (see Yan et.al 2017 A&A...607A.126Y)

0.08 86.40410488377152
0.0808 86.14656463741224
0.081608 85.88979202794462
0.08242408 85.63378476731299
0.0832483208 85.37854057428163
0.084080804008 85.12405717441455
0.08492161204808 84.87033230005491
0.08577082816856081 84.6173636903048
0.08662853645024642 84.3651490910055
0.08749482181474888 84.11368625471714
0.08836977003289637 83.86297294069847
0.08925346773322533 83.6130069148873
0.09014600241055759 83.36378594988024
0.09104746243466316 83.11530782491329
0.0919579370590098 82.86757032584136
0.0928775164295999 82.62057124511925
0.0938062915938959 82.37430838178153
0.09474435450983486 82.12877954142314
0.0956917980549332 81.88398253617977
0.09664871603548254 81.63991518470826
0.09761520319583737 81.39657531216746
0.09859135522779575 81.15396075019858
0.09957726878007371 80.91206933690577
0.10057304146787445 80.67089891683723
0.1015787718825532 80.43044734096586
0.10259455960137873 80.19071246666968
0.10362050519739252 79.95169215771365
0.10465671024936644 79.7133842842297
0.10570327735186011 79.4757867226983
0.1067603101253787 79.23889735592931
0.10782791322663249 79.00271407304325
0.10890619235889881 78.76723476945239
0.1099952542824878 78.53245734684211
0.11109520682531268 78.29837971315204
0.1122061588935658 78.06499978255752
0.11332822048250146 77.83231547545113
0.11446150268732648 77.60032471842375
0.11560611771419975 77.36902544424659
0.11676217889134174 77.13841559185263
0.11792980068025516 76.90849310631778
0.11910909868705771 76.6792559388434
0.12030018967392829 76.45070204673726
0.12150319157066758 76.22282939339586
0.12271822348637426 75.99563594828605
0.12394540572123801 75.769119686927
0.1251848597784504 75.54327859087206
0.1264367083762349 75.31811064769101
0.12770107545999726 75.093613850952
0.12897808621459722 74.86978620020332
0.1302678670767432 74.64662570095614
0.13157054574751065 74.42413036466665
0.13288625120498576 74.2022982087179
0.13421511371703562 73.98112725640259
0.13555726485420597 73.76061553690535
0.13691283750274802 73.54076108528479
0.1382819658777755 73.32156194245674
0.13966478553655326 73.10301615517612
0.1410614333919188 72.88512177601983
0.142472047725838 72.6678768633693
0.14389676820309638 72.4512794813935
0.14533573588512735 72.23532770003104
0.14678909324397862 72.02001959497369
0.14825698417641842 71.80535324764865
0.1497395540181826 71.59132674520198
0.15123694955836442 71.3779381804811
0.15274931905394806 71.16518565201798
0.15427681224448755 70.95306726401233
0.15581958036693244 70.7415811263144
0.15737777617060178 70.5307253544084
0.1589515539323078 70.32049806939571
0.16054106947163088 70.11089739797796
0.1621464801663472 69.90192147244026
0.16376794496801067 69.69356843063497
0.16540562441769077 69.48583641596484
0.1670596806618677 69.2787235773663
0.16873027746848637 69.07222806929333
0.17041758024317125 68.86634805170077
0.17212175604560295 68.66108169002788
0.173842973606059 68.45642715518227
0.17558140334211958 68.25238262352336
0.17733721737554078 68.04894627684622
0.1791105895492962 67.84611630236532
0.18090169544478918 67.64389089269838
0.18271071239923709 67.44226824585036
0.18453781952322945 67.24124656519733
0.18638319771846174 67.0408240594704
0.18824702969564636 66.84099894273983
0.1901294999926028 66.6417694343992
0.19203079499252884 66.44313375914933
0.19395110294245413 66.24509014698265
0.19589061397187868 66.04763683316746
0.19784952011159748 65.85077205823185
0.19982801531271346 65.6544940679485
0.2018262954658406 65.45880111331874
0.203844558420499 65.26369145055702
0.205883004004704 65.06916334107544
0.20794183404475103 64.87521505146829
0.21002125238519853 64.6818448534964
0.2121214649090505 64.48905102407195
0.21424267955814102 64.29683184524299
0.21638510635372243 64.1051856041783
0.21854895741725966 63.91411059315178
0.22073444699143227 63.723605109527725
0.2229417914613466 63.533667455745196
0.22517120937596008 63.34429593930322
0.22742292146971968 63.15548887274543
0.22969715068441687 62.96724457364525
0.23199412219126103 62.77956136459092
0.23431406341317365 62.59243757317033
0.2366572040473054 62.40587153195622
0.23902377608777844 62.21986157849144
0.24141401384865624 62.03440605527395
0.2438281539871428 61.84950330974224
0.24626643552701424 61.66515169426048
0.2487290998822844 61.481349566103745
0.25121639088110725 61.29809528744363
0.25372855478991835 61.11538722533353
0.2562658403378175 60.9332237516939
0.2588284987411957 60.751603243298206
0.26141678372860766 60.57052408175791
0.26403095156589373 60.38998465350852
0.2666712610815527 60.20998334979483
0.2693379736923682 60.030518566657
0.2720313534292919 59.85158870491584
0.27475166696358483 59.67319217015878
0.2774991836332207 59.495327372725676
0.2802741754695529 59.317992727694644
0.28307691722424844 59.14118665486777
0.28590768639649095 58.96490757875726
0.28876676326045586 58.789153928571274
0.2916544308930604 58.61392413819992
0.29457097520199105 58.43921664620136
0.29751668495401096 58.265029895787734
0.3004918518035511 58.09136233481177
0.3034967703215866 57.918212415752095
0.3065317380248025 57.745578595700394
0.3095970554050505 57.57345933634702
0.31269302595910103 57.4018531039675
0.315819956218692 57.23075836940884
0.31897815578087896 57.06017360807601
0.32216793733868776 56.89009729991814
0.3253896167120746 56.72052792941514
0.32864351287919535 56.55146398556423
0.3319299480079873 56.382903961866205
0.33524924748806717 56.21484635631251
0.33860173996294785 56.04728967137121
0.3419877573625773 55.88023241397423
0.3454076349362031 55.713673095503644
0.3488617112855651 55.547610231778776
0.35235032839842073 55.38204234304249
0.35587383168240494 55.21696795394857
0.359432569999229 55.05238559354808
0.3630268956992213 54.88829379527654
0.3666571646562135 54.72469109694089
0.37032373630277565 54.56157604070609
0.3740269736658034 54.39894717308266
0.37776724340246143 54.23680304491332
0.38154491583648603 54.07514221136024
0.3853603649948509 53.913963231892225
0.3892139686447994 53.753264670271605
0.3931061083312474 53.59304509454188
0.39703716941455985 53.433303077014486
